owner,name,full_name,stars,releases,age_years,ck_class_count,loc_total,cbo_mean,cbo_median,cbo_stdev,dit_mean,dit_median,dit_stdev,lcom_mean,lcom_median,lcom_stdev,loc_mean,loc_median,loc_stdev
Vedenin,useful-java-links,Vedenin/useful-java-links,6159,0,10.15,263,5967,2.3042,2.0,2.4847,1.0228,1.0,0.1493,1.8327,0.0,6.8439,22.6882,15.0,24.923
google,grafika,google/grafika,6157,1,12.3,103,10035,6.4078,5.0,6.2496,1.7476,2.0,0.8558,6.8932,0.0,16.8049,97.4272,60.0,113.8493
alipay,SoloPi,alipay/SoloPi,6154,8,7.07,1170,56327,4.6231,2.0,6.672,1.206,1.0,0.6494,13.1359,0.0,70.3119,48.1427,13.0,113.1197
apache,iotdb,apache/iotdb,6307,51,7.37,9214,814421,8.3502,6.0,14.7054,1.6127,1.0,1.0292,111.5425,1.0,2772.3489,88.3895,35.0,217.9668
LandGrey,SpringBootVulExploit,LandGrey/SpringBootVulExploit,6128,0,5.89,14,258,3.4286,3.0,2.8464,1.0,1.0,0.0,3.5714,0.0,7.1785,18.4286,8.5,18.6345
apache,hudi,apache/hudi,6138,33,9.32,4917,337269,9.2821,6.0,10.3645,1.5705,1.0,1.0537,66.1961,1.0,1022.9234,68.5924,26.0,134.7873
obsidiandynamics,kafdrop,obsidiandynamics/kafdrop,6125,50,6.87,100,4200,5.54,3.0,7.5199,1.32,1.0,0.8471,28.19,0.0,129.6402,42.0,17.0,89.557
hibernate,hibernate-orm,hibernate/hibernate-orm,6436,174,15.52,26455,1101897,6.9211,5.0,9.1773,1.3413,1.0,0.9389,75.027,1.0,2192.6704,41.6517,19.0,104.8949
google,google-java-format,google/google-java-format,6107,43,10.91,154,12174,6.2987,4.0,10.9995,1.461,1.0,0.8763,91.2468,1.0,495.7873,79.0519,28.0,253.6698
ikew0ng,SwipeBackLayout,ikew0ng/SwipeBackLayout,6103,0,12.62,18,1635,5.0,3.0,5.4975,1.3889,1.0,0.6781,61.3333,3.0,159.3218,90.8333,25.0,178.3867
rengwuxian,MaterialEditText,rengwuxian/MaterialEditText,6093,19,11.44,26,3385,5.6538,2.0,10.381,1.3077,1.0,0.4615,742.8462,0.0,2052.1568,130.1923,16.0,320.9064
daimajia,NumberProgressBar,daimajia/NumberProgressBar,6092,3,11.94,6,380,3.1667,0.5,4.4876,1.3333,1.0,0.4714,91.8333,0.0,202.6741,63.3333,7.5,114.7761
apache,incubator-kie-drools,apache/incubator-kie-drools,6240,6,15.14,11931,769340,6.5699,4.0,8.9558,1.62,1.0,1.3192,65.0791,1.0,699.341,64.4824,21.0,425.9106
ZhongFuCheng3y,austin,ZhongFuCheng3y/austin,6050,0,4.42,348,6538,6.2672,5.0,5.0697,1.1236,1.0,0.3779,1.4511,0.0,5.1098,18.7874,10.0,25.2138
vavr-io,vavr,vavr-io/vavr,6127,22,12.19,755,71254,8.6901,6.0,11.3637,1.2344,1.0,0.8422,1009.1854,1.0,8806.0313,94.3762,20.0,251.3379
javaparser,javaparser,javaparser/javaparser,6072,57,14.44,2108,145306,8.5493,5.0,16.9398,1.9369,1.0,2.2844,283.8577,1.0,6012.962,68.9307,19.0,324.4587
jeequan,jeepay,jeequan/jeepay,6026,0,8.66,550,17168,8.7764,7.0,7.4149,1.7836,2.0,0.8626,4.2909,0.0,28.8673,31.2145,17.0,39.3802
singwhatiwanna,dynamic-load-apk,singwhatiwanna/dynamic-load-apk,6020,0,12.03,62,2620,5.8226,3.0,6.2205,1.4355,1.0,0.7322,9.4194,0.0,29.7655,42.2581,13.0,64.8482
00-Evan,shattered-pixel-dungeon,00-Evan/shattered-pixel-dungeon,6014,52,11.69,2763,164472,6.3409,4.0,9.2389,2.8451,2.0,2.9085,13.8335,1.0,99.193,59.5266,26.0,109.8655
pedrovgs,EffectiveAndroidUI,pedrovgs/EffectiveAndroidUI,6002,0,11.77,73,1923,4.4384,3.0,4.6168,1.3425,1.0,0.6242,11.6164,1.0,27.5371,26.3425,11.0,42.4191
WeiYe-Jing,datax-web,WeiYe-Jing/datax-web,5992,5,6.39,317,13801,5.041,3.0,5.4113,1.388,1.0,0.6816,13.2397,0.0,63.9576,43.5363,21.0,87.4051
apache,pinot,apache/pinot,6057,22,11.89,7532,626377,7.4015,5.0,8.4495,1.5222,1.0,1.3036,57.4404,1.0,490.0604,83.1621,34.0,156.7676
robolectric,robolectric,robolectric/robolectric,6005,111,15.62,4078,229196,5.938,4.0,6.7159,1.3536,1.0,1.1804,72.0081,0.0,628.0066,56.203,15.0,132.4074
opengoofy,hippo4j,opengoofy/hippo4j,5991,18,4.82,1206,31320,4.5846,3.0,4.8846,1.1982,1.0,0.5842,5.932,0.0,25.1668,25.9701,12.0,36.8748
google,physical-web,google/physical-web,5974,17,11.52,156,7481,4.7885,3.0,5.5505,1.2885,1.0,0.5548,26.7115,0.0,208.5035,47.9551,14.5,78.0676
btraceio,btrace,btraceio/btrace,5988,33,11.61,910,53275,4.7352,4.0,5.3665,1.3286,1.0,0.8725,79.9505,0.0,1314.8885,58.544,13.0,161.974
youtube,api-samples,youtube/api-samples,5963,0,12.33,42,2541,6.4048,7.0,4.3592,1.0,1.0,0.0,4.381,0.0,9.7296,60.5,51.0,53.1195
rey5137,material,rey5137/material,5964,10,11.33,305,27346,6.5115,3.0,7.9692,1.6459,1.0,1.1925,54.4951,1.0,190.5109,89.659,15.0,182.0812
wyouflf,xUtils3,wyouflf/xUtils3,5960,9,10.45,218,12561,5.2248,3.0,5.3441,1.4083,1.0,0.8796,27.4495,2.0,102.518,57.6193,23.0,87.9355
JSQLParser,JSqlParser,JSQLParser/JSqlParser,5945,37,14.8,878,51273,6.2016,4.0,13.4569,1.5604,1.0,1.0425,507.6276,1.0,8150.204,58.3975,24.0,167.4766
springfox,springfox,springfox/springfox,5939,12,13.93,1136,32115,5.7025,3.0,7.6479,1.1206,1.0,0.3964,23.2526,0.0,151.2254,28.2702,16.0,40.8526
journeyapps,zxing-android-embedded,journeyapps/zxing-android-embedded,5935,9,13.36,96,5169,5.4375,4.0,5.6602,1.3646,1.0,0.6788,21.9167,1.0,87.8582,53.8438,27.0,76.4047
liyifeng1994,ssm,liyifeng1994/ssm,5934,0,9.81,19,369,3.4737,2.0,3.7468,1.6842,1.0,1.0786,2.0526,1.0,3.1702,19.4211,16.0,15.1946
apache,nifi,apache/nifi,6048,0,11.33,10460,679826,7.4102,4.0,11.2082,1.4842,1.0,0.8592,60.1092,1.0,1168.7822,64.9929,25.0,145.6632
prolificinteractive,material-calendarview,prolificinteractive/material-calendarview,5923,22,11.16,88,3658,6.4545,4.0,7.518,1.5341,1.0,0.7222,69.0114,0.0,528.2896,41.5682,15.0,111.1112
antoniolg,androidmvp,antoniolg/androidmvp,5909,0,12.02,14,274,3.2857,2.0,3.6337,1.2857,1.0,0.4518,3.0,0.0,4.4721,19.5714,16.0,14.5833
apache,fesod,apache/fesod,5931,7,1.51,616,22318,6.086,5.0,5.7846,1.3685,1.0,0.7991,30.2744,1.0,339.7029,36.2305,15.0,59.1885
PBH-BTN,PeerBanHelper,PBH-BTN/PeerBanHelper,5908,191,2.17,722,30571,6.4404,4.0,7.8947,1.313,1.0,0.6753,16.0014,0.0,61.0115,42.3421,15.0,70.6264
weibocom,motan,weibocom/motan,5897,28,9.97,844,46905,5.9419,4.0,5.7473,1.4348,1.0,0.8185,32.718,1.0,155.2223,55.5746,23.0,95.1592
ikarus23,MifareClassicTool,ikarus23/MifareClassicTool,5896,10,13.16,33,6934,11.1212,9.0,10.23,2.2727,3.0,0.8969,110.0,3.0,394.4122,210.1212,68.0,285.6077
amitshekhariitbhu,Fast-Android-Networking,amitshekhariitbhu/Fast-Android-Networking,5892,10,10.05,575,19596,3.2191,2.0,4.5923,1.2504,1.0,1.1252,13.7687,1.0,100.3942,34.08,11.0,95.9124
lets-blade,blade,lets-blade/blade,5883,9,10.83,307,15319,4.6221,3.0,5.9439,1.2345,1.0,0.7723,42.1564,0.0,185.1643,49.899,18.0,92.5889
ffay,lanproxy,ffay/lanproxy,5854,1,9.39,63,2668,4.2381,3.0,3.8574,1.1905,1.0,0.4994,8.2063,0.0,26.9533,42.3492,23.0,49.4507
JakeWharton,DiskLruCache,JakeWharton/DiskLruCache,5824,0,14.26,12,1937,3.25,2.5,2.8614,1.3333,1.0,0.7454,11.0,3.0,24.5017,161.4167,43.0,266.1198
meefik,linuxdeploy,meefik/linuxdeploy,5800,37,13.63,37,2693,7.1622,5.0,7.3504,1.6486,2.0,0.4774,35.8919,3.0,117.7023,72.7838,29.0,89.6079
yarolegovich,DiscreteScrollView,yarolegovich/DiscreteScrollView,5782,2,9.1,105,3698,4.2286,2.0,4.7953,1.2476,1.0,0.4532,19.1143,0.0,101.0322,35.219,11.0,72.2198
houbb,sensitive-word,houbb/sensitive-word,5776,2,6.26,228,4321,3.0526,2.0,3.5869,1.1711,1.0,0.4791,20.8684,0.0,152.5378,18.9518,9.0,31.8463
Nightonke,BoomMenu,Nightonke/BoomMenu,5790,0,10.06,115,7710,5.6348,4.0,6.7196,1.5739,1.0,0.845,227.6696,0.0,2069.2318,67.0435,17.0,168.7203
changmingxie,tcc-transaction,changmingxie/tcc-transaction,5775,8,10.35,519,23664,5.2466,3.0,5.632,1.3083,1.0,0.8006,29.736,1.0,99.674,45.5954,16.0,124.6676
Nepxion,Discovery,Nepxion/Discovery,5768,132,7.8,828,26230,4.779,4.0,5.0302,1.2693,1.0,0.5948,18.8007,1.0,111.8326,31.6787,16.0,54.7018
strimzi,strimzi-kafka-operator,strimzi/strimzi-kafka-operator,5767,170,9.93,1524,123586,10.9738,7.0,13.0256,1.4875,1.0,0.875,45.3609,1.0,279.1306,81.0932,33.0,145.9993
dmytrodanylyk,circular-progress-button,dmytrodanylyk/circular-progress-button,5753,3,11.84,39,1429,3.9744,2.0,4.3174,1.2821,1.0,0.5038,25.3333,0.0,130.2105,36.641,13.0,84.1663
JanusGraph,janusgraph,JanusGraph/janusgraph,5763,28,9.29,1896,104586,7.0179,4.0,10.0441,1.4425,1.0,0.8425,43.9536,1.0,663.3069,55.1614,21.0,191.5463
dromara,lamp-cloud,dromara/lamp-cloud,5738,0,8.23,817,18906,7.7699,7.0,6.0737,1.2705,1.0,0.4551,6.8911,0.0,34.6605,23.1408,12.0,42.3712
k0shk0sh,FastHub,k0shk0sh/FastHub,5734,63,9.14,934,40321,8.0739,5.0,7.8545,1.4379,1.0,0.6832,34.757,1.0,131.533,43.1702,14.0,65.5606
jagrosh,MusicBot,jagrosh/MusicBot,5735,38,9.65,93,4097,6.7419,5.0,6.8704,2.5054,3.0,1.8353,10.5914,1.0,62.7242,44.0538,32.0,38.9406
ddd-by-examples,library,ddd-by-examples/library,5727,0,7.24,123,1770,6.7886,5.0,5.5878,1.0407,1.0,0.2963,5.4309,0.0,23.3144,14.3902,9.0,17.7803
ZHENFENG13,spring-boot-projects,ZHENFENG13/spring-boot-projects,5724,0,9.02,107,2606,4.3271,3.0,3.9713,1.0748,1.0,0.4258,9.0748,1.0,19.6401,24.3551,20.0,19.9566
yanzhenjie,SwipeRecyclerView,yanzhenjie/SwipeRecyclerView,5720,0,9.68,275,11090,4.8473,3.0,5.2368,1.3891,1.0,0.8342,26.9418,0.0,115.2287,40.3273,18.0,71.5054
Archmage83,tvapk,Archmage83/tvapk,5940,0,5.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devlight,InfiniteCycleViewPager,Devlight/InfiniteCycleViewPager,5703,2,9.63,41,3564,5.0488,3.0,6.4048,1.6341,2.0,0.8767,102.5366,0.0,507.2119,86.9268,12.0,318.149
redis,lettuce,redis/lettuce,5732,152,11.92,2459,138654,6.5039,4.0,8.5279,1.3725,1.0,0.9344,146.6023,0.0,3206.038,56.3863,23.0,130.1517
jpush,aurora-imui,jpush/aurora-imui,5708,42,9.32,342,17789,4.807,2.5,7.0319,1.5292,1.0,1.4339,50.269,0.0,406.9053,52.0146,13.0,118.0196
springside,springside4,springside/springside4,5666,3,14.13,315,12842,3.1651,2.0,3.3747,1.2762,1.0,0.8027,24.7841,1.0,108.8383,40.7683,23.0,52.8858
201206030,novel,201206030/novel,5694,12,6.41,202,4560,4.4158,2.0,5.5057,1.0693,1.0,0.3377,20.4257,0.0,66.9391,22.5743,10.0,31.8223
crazycodeboy,react-native-splash-screen,crazycodeboy/react-native-splash-screen,5658,12,9.57,12,246,3.4167,2.5,2.8419,1.25,1.0,0.433,2.0,0.5,2.582,20.5,13.5,17.9467
wasabeef,Blurry,wasabeef/Blurry,5658,0,10.72,14,636,5.1429,3.5,4.3729,1.0,1.0,0.0,0.6429,0.0,1.5403,45.4286,14.0,65.9759
JakeWharton,u2020,JakeWharton/u2020,5653,0,12.4,134,4806,6.2164,4.0,8.058,1.4254,1.0,0.8138,23.6194,0.5,183.8984,35.8657,13.0,107.5474
ElderDrivers,EdXposed,ElderDrivers/EdXposed,5659,27,7.23,920,71794,6.0652,4.0,6.9515,1.6033,1.0,1.0489,191.0783,1.0,2192.5792,78.037,26.0,163.8633
hanks-zyh,HTextView,hanks-zyh/HTextView,5652,0,10.31,91,3076,4.1978,2.0,4.0579,1.5604,1.0,0.759,3.4835,0.0,8.5155,33.8022,12.0,43.3595
apache,camel,apache/camel,6176,0,16.89,44670,2058996,4.8543,3.0,8.1143,1.6259,1.0,2.3876,80.5932,1.0,2245.3797,46.0935,18.0,139.3797
daimajia,AndroidImageSlider,daimajia/AndroidImageSlider,5612,5,11.85,63,3813,4.0635,2.0,7.0235,1.5714,1.0,0.7708,59.0952,1.0,358.332,60.5238,11.0,255.7363
hazelcast,hazelcast,hazelcast/hazelcast,6579,201,14.05,16976,1133697,7.9212,5.0,15.7515,1.762,1.0,4.7362,44.8898,1.0,437.8636,66.7823,23.0,319.9884
TommyLemon,Android-ZBLibrary,TommyLemon/Android-ZBLibrary,5606,25,10.64,318,14727,5.3774,3.0,6.4008,1.5597,1.0,1.0315,26.6667,0.0,131.4035,46.3113,15.0,66.4655
hongyangAndroid,FlowLayout,hongyangAndroid/FlowLayout,5586,0,10.62,34,810,4.3235,3.0,3.7552,1.4118,1.0,0.5487,5.0,0.0,15.7704,23.8235,7.0,38.1248
baidu,uid-generator,baidu/uid-generator,5578,0,9.04,25,873,2.88,1.0,3.3145,1.28,1.0,0.7222,11.72,1.0,20.7702,34.92,24.0,31.9536
SuperMonster003,AutoJs6,SuperMonster003/AutoJs6,5646,21,4.36,1820,118612,5.1511,3.0,6.7143,1.4588,1.0,0.8764,42.4038,1.0,268.8258,65.1714,21.0,147.355
mik3y,usb-serial-for-android,mik3y/usb-serial-for-android,5573,34,12.77,72,8450,6.0,4.0,7.1686,1.375,1.0,0.6548,39.5417,1.0,117.6113,117.3611,24.0,272.7973
alibaba,jetcache,alibaba/jetcache,5574,67,8.99,446,18021,6.0336,4.0,6.4971,1.6368,1.0,1.0995,15.9081,0.0,111.324,40.4058,17.0,66.3501
amlcurran,ShowcaseView,amlcurran/ShowcaseView,5561,13,13.65,65,2086,5.3846,5.0,5.5489,1.4,1.0,0.6748,17.8154,0.0,117.957,32.0923,17.0,66.9527
hneemann,Digital,hneemann/Digital,5597,35,9.78,1817,76080,5.0479,4.0,5.7625,1.6835,1.0,1.7286,13.246,0.0,95.5689,41.8712,20.0,88.2811
alibaba,QLExpress,alibaba/QLExpress,5563,25,9.07,355,13807,5.7831,3.0,11.1543,1.4,1.0,0.6395,44.0028,2.0,330.1538,38.893,19.0,103.0695
nhaarman,ListViewAnimations,nhaarman/ListViewAnimations,5535,14,13.06,137,5697,6.4745,5.0,5.4813,2.0584,2.0,1.2308,10.4599,0.0,44.8937,41.5839,17.0,61.7466
CaffeineMC,sodium,CaffeineMC/sodium,5538,40,6.19,751,30799,6.2876,4.0,6.8757,1.514,1.0,2.3872,17.2916,1.0,71.2101,41.0107,18.0,64.691
knightliao,disconf,knightliao/disconf,5529,12,11.86,425,14009,4.4376,3.0,5.1236,1.3576,1.0,0.8284,12.6165,0.0,68.1351,32.9624,18.0,49.8588
apache,hive,apache/hive,5987,0,16.89,20617,2025535,6.905,4.0,12.5262,1.4061,1.0,1.16,91.0389,1.0,2821.4779,98.2459,31.0,1809.1397
cinit,QAuxiliary,cinit/QAuxiliary,5525,49,4.19,559,42931,7.4723,5.0,7.7805,1.322,1.0,0.5861,40.5098,1.0,246.0457,76.7996,36.0,122.8146
microsoft,typespec,microsoft/typespec,5665,472,4.77,4752,193653,8.9217,8.0,6.9909,1.1521,1.0,0.4721,24.3598,1.0,128.0789,40.7519,27.0,62.2483
wuhaoyu1990,MagicCamera,wuhaoyu1990/MagicCamera,5513,0,10.25,352,14543,3.5455,3.0,4.9878,1.4688,1.0,0.6819,7.6307,0.0,33.1724,41.3153,25.0,52.3134
osmandapp,OsmAnd,osmandapp/OsmAnd,5639,1,15.23,6132,699095,8.9894,5.0,11.2207,1.7329,1.0,2.2631,109.0993,1.0,623.554,114.0077,27.0,690.4486
danikula,AndroidVideoCache,danikula/AndroidVideoCache,5508,20,11.03,77,3217,4.8312,3.0,4.8601,1.4935,1.0,0.6571,14.3247,1.0,34.0216,41.7792,18.0,53.8134
emilsjolander,StickyListHeaders,emilsjolander/StickyListHeaders,5479,16,14.08,43,2112,4.814,3.0,6.8684,1.3953,1.0,0.652,3.9767,0.0,15.3479,49.1163,10.0,118.2833
Jasonchenlijian,FastBle,Jasonchenlijian/FastBle,5479,9,9.63,105,4713,4.381,2.0,5.8885,1.2952,1.0,0.5678,26.0667,0.0,183.3653,44.8857,8.0,86.653
GeyserMC,Geyser,GeyserMC/Geyser,5515,0,6.75,1365,65112,7.9978,6.0,10.6801,1.7392,1.0,1.187,34.0381,1.0,447.5655,47.7011,19.0,96.8484
scribejava,scribejava,scribejava/scribejava,5470,9,15.59,494,12671,4.2085,3.0,3.9842,1.4008,1.0,0.7827,10.9352,1.0,89.8241,25.6498,17.0,31.7504
KeepSafe,TapTargetView,KeepSafe/TapTargetView,5463,24,9.58,39,1965,4.5128,2.0,6.9794,1.1538,1.0,0.426,49.8974,0.0,243.3691,50.3846,15.0,122.7262
motianhuo,wechat,motianhuo/wechat,5462,0,10.88,635,34426,5.0614,3.0,7.0235,1.2346,1.0,0.63,15.4535,0.0,96.456,54.2142,20.0,118.5775
jindrapetrik,jpexs-decompiler,jindrapetrik/jpexs-decompiler,5530,181,11.92,4221,369414,5.8413,3.0,12.2854,1.8742,1.0,1.9477,60.9446,1.0,659.3284,87.5181,22.0,288.4901
TGX-Android,Telegram-X,TGX-Android/Telegram-X,5485,6,4.64,2884,421700,9.501,4.0,19.6729,1.4272,1.0,0.8805,549.1099,1.0,8504.039,146.2205,20.0,512.97
sockeqwe,mosby,sockeqwe/mosby,5453,15,11.04,662,17138,5.3807,3.0,5.6798,1.6118,1.0,1.2273,9.6375,0.0,27.9549,25.8882,12.0,35.975
dm77,barcodescanner,dm77/barcodescanner,5445,6,12.12,73,2796,5.274,2.0,6.1982,1.6438,1.0,0.85,11.8219,0.0,32.6003,38.3014,10.0,59.4833
alibaba,freeline,alibaba/freeline,5452,22,9.68,135,5357,3.7407,2.0,4.5509,1.6074,1.0,1.5011,13.8667,1.0,63.301,39.6815,16.0,61.5884
liquibase,liquibase,liquibase/liquibase,5477,107,14.75,1734,99130,6.8541,4.0,7.6369,1.7832,2.0,0.9064,66.1269,3.0,563.2158,57.1684,24.0,110.6948
tonikelope,megabasterd,tonikelope/megabasterd,5422,208,9.52,201,20673,2.7612,1.0,4.3916,1.4876,1.0,1.3275,85.7214,0.0,377.9834,102.8507,5.0,291.4001
socketio,socket.io-client-java,socketio/socket.io-client-java,5414,7,12.95,229,5639,1.9214,1.0,2.7931,1.0961,1.0,0.4173,4.2533,0.0,34.0211,24.6245,7.0,73.0088
rubenlagus,TelegramBots,rubenlagus/TelegramBots,5439,113,10.24,804,22367,10.4092,11.0,6.5896,2.1766,1.0,1.77,11.3097,0.0,102.0816,27.8197,16.0,45.379
facebookarchive,rebound,facebookarchive/rebound,5401,10,12.5,87,4095,4.2874,2.0,5.5063,1.3218,1.0,0.5772,34.931,0.0,236.7318,47.069,13.0,110.0714
diffplug,spotless,diffplug/spotless,5403,52,10.95,937,38634,4.9883,4.0,4.2965,1.7353,1.0,1.2654,13.9146,1.0,95.0536,41.2316,23.0,52.3994
coobird,thumbnailator,coobird/thumbnailator,5400,0,10.71,224,19595,4.0893,2.0,4.8496,1.2366,1.0,0.7086,93.2232,0.0,849.4995,87.4777,24.0,227.3223
apache,dubbo-spring-boot-project,apache/dubbo-spring-boot-project,5392,13,8.22,89,1908,7.1124,6.0,4.9683,1.1685,1.0,0.3743,11.9326,0.0,70.7342,21.4382,14.0,25.609
apache,groovy,apache/groovy,5440,0,10.98,2834,203419,5.2537,3.0,9.9252,2.1323,1.0,4.1268,424.8641,1.0,12032.7026,71.7781,19.0,256.3397
gsantner,markor,gsantner/markor,5399,81,8.62,344,30245,6.8547,4.0,9.9424,1.4767,1.0,0.9582,129.5087,1.0,997.6315,87.9215,26.0,178.4102
facebookarchive,shimmer-android,facebookarchive/shimmer-android,5366,5,11.11,7,885,8.5714,9.0,6.1611,1.8571,2.0,0.6389,18.0,10.0,22.6653,126.4286,126.0,115.1606
apache,hbase,apache/hbase,5555,50,11.88,11644,951812,7.8082,5.0,10.672,1.494,1.0,1.5899,70.1673,1.0,891.2728,81.7427,25.0,625.1332
Evernote,android-job,Evernote/android-job,5360,31,10.64,189,10693,6.9947,4.0,6.0391,1.7672,1.0,2.3432,32.0053,1.0,135.0361,56.5767,19.0,97.8548
LFDT-web3j,web3j,LFDT-web3j/web3j,5385,121,9.6,1265,43232,4.2719,2.0,8.7596,1.7352,1.0,1.6809,35.4791,0.0,213.6611,34.1755,9.0,78.1643
killbill,killbill,killbill/killbill,5412,151,13.46,2448,151373,8.663,6.0,10.0751,1.7945,1.0,1.101,28.2328,1.0,123.8756,61.8354,23.0,120.5899
h6ah4i,android-advancedrecyclerview,h6ah4i/android-advancedrecyclerview,5336,1,11.21,395,20692,6.6051,4.0,7.1211,2.4076,2.0,2.2089,32.0228,0.0,194.4129,52.3848,17.0,112.8077
jgilfelt,SystemBarTint,jgilfelt/SystemBarTint,5332,3,12.39,9,807,8.0,7.0,4.8762,1.7778,2.0,0.6285,22.5556,1.0,35.0622,89.6667,41.0,97.8093
remkop,picocli,remkop/picocli,5350,86,9.19,2938,96025,2.9408,2.0,4.8433,1.1116,1.0,1.4747,58.9537,0.0,970.5816,32.6838,5.0,305.13
allure-framework,allure2,allure-framework/allure2,5334,85,9.87,289,10734,5.9585,4.0,5.6701,1.3045,1.0,0.7875,13.7716,1.0,52.7739,37.1419,14.0,88.7387
google,google-authenticator,google/google-authenticator,5329,0,11.5,61,3935,3.8852,2.0,5.0085,1.6885,1.0,1.2999,29.6557,1.0,89.415,64.5082,18.0,138.211
dunwu,db-tutorial,dunwu/db-tutorial,5325,0,8.67,209,11203,5.2057,4.0,5.1523,1.1818,1.0,0.5494,32.6077,0.0,181.0662,53.6029,15.0,116.5194
spring-projects,spring-data-examples,spring-projects/spring-data-examples,5423,0,12.19,6655,51538,2.6335,2.0,1.6466,1.0062,1.0,0.089,0.47,0.0,2.3045,7.7443,4.0,7.0805
mybatis,generator,mybatis/generator,5318,12,13.16,721,73169,7.9556,5.0,7.4484,2.4535,2.0,1.5874,85.6338,3.0,456.5433,101.4827,24.0,323.2571
XRecyclerView,XRecyclerView,XRecyclerView/XRecyclerView,5314,0,10.39,166,5151,3.9096,2.0,4.8319,1.4217,1.0,0.6036,9.0422,0.0,62.9002,31.0301,9.0,62.8444
Doikki,DKVideoPlayer,Doikki/DKVideoPlayer,5307,32,9.0,377,18446,5.3263,2.0,6.2789,1.5915,1.0,0.8449,46.7533,0.0,392.3128,48.9284,17.0,122.4618
Fuzion24,JustTrustMe,Fuzion24/JustTrustMe,5294,1,11.71,27,598,2.2963,1.0,4.1528,1.1852,1.0,0.4743,2.7037,0.0,8.8978,22.1481,6.0,72.864
zfdang,Android-Touch-Helper,zfdang/Android-Touch-Helper,5298,113,5.48,55,2257,4.1273,3.0,5.1241,1.1818,1.0,0.3857,1.9455,0.0,8.3675,41.0364,12.0,105.5639
evant,gradle-retrolambda,evant/gradle-retrolambda,5270,37,12.68,25,623,4.6,3.0,3.5327,1.04,1.0,0.196,2.16,0.0,8.8258,24.92,13.0,28.2912
pmd,pmd,pmd/pmd,5373,114,13.74,4114,148405,5.7538,4.0,8.4992,2.0411,2.0,2.5549,43.6405,1.0,590.5547,36.0732,13.0,150.7617
citerus,dddsample-core,citerus/dddsample-core,5268,0,11.19,157,4639,7.0892,5.0,6.5056,1.1274,1.0,0.4884,7.0318,0.0,23.3449,29.5478,19.0,30.4119
xxv,android-lifecycle,xxv/android-lifecycle,5264,0,11.98,6,481,7.0,7.5,4.761,1.6667,2.0,0.4714,151.6667,190.0,111.3323,80.1667,104.0,49.3539
yixia,VitamioBundle,yixia/VitamioBundle,5267,0,13.47,101,6501,4.9505,3.0,6.0793,1.3168,1.0,0.5959,75.0693,0.0,586.3464,64.3663,21.0,111.7731
commonsguy,cw-omnibus,commonsguy/cw-omnibus,5331,36,14.08,1944,71119,5.3287,4.0,4.9658,1.7829,2.0,0.8721,20.0761,0.0,131.6616,36.5838,18.0,73.283
CodingDocs,springboot-guide,CodingDocs/springboot-guide,5260,0,7.36,139,1522,4.1151,3.0,3.1027,1.1799,1.0,0.5658,1.3525,0.0,5.4823,10.9496,7.0,10.3842
lingochamp,okdownload,lingochamp/okdownload,5257,8,8.31,343,18986,6.4431,4.0,6.8368,1.2653,1.0,0.7766,35.2595,0.0,203.936,55.3528,21.0,82.3572
runelite,runelite,runelite/runelite,5343,0,9.94,4109,519775,3.3989,0.0,6.9625,1.2088,1.0,0.7164,24.5461,0.0,845.5792,126.4967,17.0,1346.3697
Docile-Alligator,Infinity-For-Reddit,Docile-Alligator/Infinity-For-Reddit,5286,197,7.71,1600,96415,6.9863,4.0,10.943,1.5456,1.0,2.3826,31.3475,1.0,318.1038,60.2594,14.0,175.1062
razerdp,BasePopup,razerdp/BasePopup,5254,15,10.23,568,28316,5.8908,3.0,6.578,1.6954,1.0,1.2076,34.331,1.0,226.1794,49.8521,16.0,93.5752
novicezk,midjourney-proxy,novicezk/midjourney-proxy,5251,0,2.96,90,2787,5.9,5.0,5.6922,1.2444,1.0,0.5439,5.8111,0.0,14.3294,30.9667,13.5,40.0706
Yalantis,Side-Menu.Android,Yalantis/Side-Menu.Android,5226,2,11.24,18,449,3.8889,2.0,5.054,1.2222,1.0,0.4157,4.1111,0.0,10.1811,24.9444,8.5,36.737
CellularPrivacy,Android-IMSI-Catcher-Detector,CellularPrivacy/Android-IMSI-Catcher-Detector,5238,48,12.38,251,12171,5.0598,3.0,6.8484,1.3307,1.0,0.6607,4.9641,0.0,16.3299,48.49,15.0,81.7812
j-easy,easy-rules,j-easy/easy-rules,5238,10,13.08,162,4857,5.0926,4.0,3.5552,1.3148,1.0,0.6524,7.6296,1.0,23.4363,29.9815,17.0,37.099
lucasr,twoway-view,lucasr/twoway-view,5215,0,13.22,51,3688,6.0784,4.0,5.7355,1.8235,1.0,1.1998,86.5882,1.0,425.0632,72.3137,30.0,125.4433
huangyanbin,smartTable,huangyanbin/smartTable,5228,44,8.42,364,14165,5.0907,2.0,7.5785,1.1896,1.0,0.4567,25.9286,0.0,203.6392,38.9148,11.0,74.0216
Karumi,Dexter,Karumi/Dexter,5208,33,10.4,80,2197,4.425,3.0,5.2196,1.2,1.0,0.5568,4.15,0.0,14.5009,27.4625,12.0,38.743
