owner,name,full_name,stars,releases,age_years,ck_class_count,loc_total,cbo_mean,cbo_median,cbo_stdev,dit_mean,dit_median,dit_stdev,lcom_mean,lcom_median,lcom_stdev,loc_mean,loc_median,loc_stdev
datahub-project,datahub,datahub-project/datahub,11779,135,10.39,4195,274894,11.3149,9.0,12.8804,1.2091,1.0,0.5756,21.8696,1.0,110.5332,65.529,30.0,105.758
apple,pkl,apple/pkl,11200,21,2.22,1698,68065,6.3981,5.0,8.1609,4.3198,3.0,15.3105,29.8563,0.0,223.7138,40.0854,13.0,103.8422
H07000223,FlycoTabLayout,H07000223/FlycoTabLayout,11113,4,10.42,33,2730,6.4545,3.0,8.732,1.5455,1.0,0.7003,223.0909,1.0,709.4496,82.7273,16.0,182.1497
lingochamp,FileDownloader,lingochamp/FileDownloader,11125,65,10.3,269,14387,4.5279,2.0,5.4394,1.6877,1.0,2.4989,42.0149,1.0,232.0155,53.4833,18.0,88.1974
jfeinstein10,SlidingMenu,jfeinstein10/SlidingMenu,11022,0,13.78,74,3085,4.7703,3.0,5.1976,1.8243,1.0,1.1896,47.4459,0.0,227.4389,41.6892,13.0,99.8053
jwtk,jjwt,jwtk/jjwt,11054,9,11.57,555,16052,5.6234,4.0,6.8247,1.9946,1.0,2.3797,25.8342,1.0,142.0173,28.9225,9.0,61.0278
androidannotations,androidannotations,androidannotations/androidannotations,11001,0,14.26,963,28800,5.9574,4.0,6.4153,1.6833,1.0,0.8991,26.0987,1.0,213.0664,29.9065,11.0,59.2676
asLody,VirtualApp,asLody/VirtualApp,10958,0,9.76,1420,46624,3.9387,2.0,5.2651,2.588,2.0,11.2671,15.6113,0.0,114.7691,32.8338,8.0,86.9943
square,javapoet,square/javapoet,10857,0,13.18,99,7543,4.5152,2.0,5.8902,1.1515,1.0,0.6091,129.2929,0.0,745.4504,76.1919,17.0,126.0018
opensearch-project,OpenSearch,opensearch-project/OpenSearch,12726,66,5.19,19818,1342298,7.4595,5.0,9.9656,1.7233,1.0,1.4905,39.6789,1.0,454.6864,67.7313,24.0,147.6133
clojure,clojure,clojure/clojure,10835,0,15.78,917,46854,3.5998,0.0,7.87,1.4951,1.0,2.3414,130.2072,0.0,1973.6677,51.0949,3.0,255.776
daniulive,SmarterStreaming,daniulive/SmarterStreaming,11170,0,10.04,172,10750,3.843,2.0,7.1311,1.0523,1.0,0.2227,71.5523,0.0,504.7896,62.5,12.0,204.8978
alibaba,vlayout,alibaba/vlayout,10758,34,9.11,159,14042,5.3145,3.0,6.6938,1.8553,1.0,1.4872,72.5409,0.0,367.2677,88.3145,13.0,198.3631
TooTallNate,Java-WebSocket,TooTallNate/Java-WebSocket,10795,19,16.22,262,13166,3.5916,2.0,4.1523,1.8168,1.0,1.3468,37.0573,6.0,183.8774,50.2519,19.0,96.2784
JingMatrix,Vector,JingMatrix/Vector,10636,5,2.72,315,15429,5.0635,3.0,6.974,1.7175,1.0,1.3777,51.7556,0.0,354.7297,48.981,10.0,128.7636
zfile-dev,zfile,zfile-dev/zfile,10729,67,6.64,435,13242,7.0943,4.0,8.1279,1.4828,1.0,1.0898,9.7977,0.0,47.3829,30.4414,12.0,51.777
android-async-http,android-async-http,android-async-http/android-async-http,10609,3,15.13,154,7620,5.6623,4.0,6.1308,1.7857,1.0,1.0749,45.8766,3.0,292.7495,49.4805,25.0,75.8837
jeasonlzy,okhttp-OkGo,jeasonlzy/okhttp-OkGo,10588,14,10.23,361,13418,5.5956,5.0,5.0617,1.6233,1.0,1.0745,19.446,0.0,124.3264,37.169,14.0,60.8587
google,auto,google/auto,10554,67,12.88,1149,32458,4.1245,3.0,8.6206,1.7137,1.0,3.2474,25.9426,1.0,270.5306,28.2489,8.0,96.8627
lipangit,JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,10500,78,10.17,69,4511,7.2754,6.0,6.3995,2.1159,2.0,0.9711,56.6377,4.0,211.6332,65.3768,30.0,128.4933
resilience4j,resilience4j,resilience4j/resilience4j,10621,36,10.85,1749,65780,7.1824,6.0,6.3918,1.4471,1.0,0.9883,17.665,1.0,97.0188,37.6101,21.0,56.0681
tbruyelle,RxPermissions,tbruyelle/RxPermissions,10437,11,10.53,20,876,4.65,2.0,5.5252,1.1,1.0,0.3,10.1,0.0,32.6755,43.8,11.5,85.7599
signalapp,Signal-Server,signalapp/Signal-Server,10485,0,12.33,1241,60271,9.3159,5.0,13.7191,1.4762,1.0,0.9557,15.8082,0.0,104.7833,48.5665,20.0,87.1068
StarRocks,starrocks,StarRocks/starrocks,11552,180,4.6,11147,877381,7.194,3.0,16.533,1.4681,1.0,1.0359,134.2013,0.0,3428.6516,78.7101,20.0,198.5681
JessYanCoding,MVPArms,JessYanCoding/MVPArms,10257,25,9.68,149,5986,6.6443,5.0,5.9179,1.2819,1.0,0.5685,32.1007,3.0,146.5307,40.1745,19.0,57.0071
apereo,cas,apereo/cas,11324,316,14.58,9123,232854,10.1924,9.0,7.3996,1.4899,1.0,1.016,7.8036,0.0,146.4365,25.5238,13.0,39.2705
JakeWharton,ViewPagerIndicator,JakeWharton/ViewPagerIndicator,10081,0,14.68,66,2947,5.4394,5.5,4.6519,2.2424,3.0,0.8539,29.2727,0.0,126.3713,44.6515,13.0,99.783
ZCShou,GoGoGo,ZCShou/GoGoGo,10236,8,4.35,48,3813,7.25,3.0,12.4088,1.4583,1.0,0.7059,12.875,1.0,45.6155,79.4375,18.5,167.9565
happydog-intj,JsBridge,happydog-intj/JsBridge,9927,0,11.12,32,1160,3.5,1.5,4.9244,1.1562,1.0,0.3631,17.0938,0.0,50.9254,36.25,5.0,58.7739
Activiti,Activiti,Activiti/Activiti,10525,1000,13.57,3428,157981,5.8136,4.0,8.6147,1.521,1.0,0.8844,89.4767,1.0,1567.5509,46.0855,19.0,108.083
wasabeef,glide-transformations,wasabeef/glide-transformations,9905,0,11.25,27,991,5.5556,5.0,3.2923,2.1481,2.0,0.7554,2.7778,0.0,4.45,36.7037,27.0,38.9014
googlesamples,easypermissions,googlesamples/easypermissions,9892,12,10.3,33,1705,8.9394,8.0,5.7152,1.4848,1.0,0.6091,12.2121,6.0,21.4416,51.6667,28.0,62.378
xuchengsheng,spring-reading,xuchengsheng/spring-reading,9922,0,2.57,290,3078,2.8138,3.0,2.1751,1.0276,1.0,0.1638,0.5414,0.0,3.1991,10.6138,8.0,8.5417
paascloud,paascloud-master,paascloud/paascloud-master,9877,0,8.07,742,16428,6.1038,4.0,6.0411,1.3154,1.0,0.5423,5.4569,0.0,25.6001,22.1402,11.0,39.7813
hackware1993,MagicIndicator,hackware1993/MagicIndicator,9809,12,9.79,103,4533,5.0,4.0,4.5132,1.3398,1.0,0.5669,26.9417,3.0,79.075,44.0097,21.0,64.267
awsdocs,aws-doc-sdk-examples,awsdocs/aws-doc-sdk-examples,10391,0,9.64,1679,83593,7.1149,5.0,6.5243,1.0399,1.0,0.309,6.3627,1.0,24.5869,49.7874,29.0,63.4705
iflytek,astron-agent,iflytek/astron-agent,9887,13,0.56,1466,73571,6.1774,4.0,8.9664,1.0641,1.0,0.2813,24.5593,0.0,293.9297,50.1849,12.0,152.8895
HarlonWang,AVLoadingIndicatorView,HarlonWang/AVLoadingIndicatorView,9771,1,10.46,92,2161,3.5652,2.0,2.3512,1.7826,1.0,1.0408,6.75,0.0,42.6111,23.4891,6.0,35.9509
lihengming,spring-boot-api-project-seed,lihengming/spring-boot-api-project-seed,9714,4,8.8,15,484,5.0,4.0,4.5166,1.2667,1.0,0.7717,9.7333,0.0,18.0387,32.2667,12.0,43.7698
OpenFeign,feign,OpenFeign/feign,9783,49,12.79,1329,40161,5.0873,3.0,6.2197,1.6719,1.0,3.1574,14.2882,0.0,90.0061,30.219,9.0,63.7283
YoKeyword,Fragmentation,YoKeyword/Fragmentation,9703,30,10.13,284,8981,5.2324,3.0,5.1556,1.7077,1.0,1.0954,15.1162,0.0,102.0892,31.6232,11.0,57.6539
stanfordnlp,CoreNLP,stanfordnlp/CoreNLP,10063,19,12.78,4305,557599,5.7045,3.0,7.6393,1.4592,1.0,1.4903,148.5786,0.0,1831.3417,129.5236,26.0,1010.1548
flyway,flyway,flyway/flyway,9674,292,13.32,750,31728,5.9307,4.0,5.7872,1.496,1.0,0.9406,51.2027,1.0,597.308,42.304,19.0,78.7502
perwendel,spark,perwendel/spark,9662,0,14.93,221,9588,4.543,3.0,4.7235,1.2986,1.0,0.7795,47.1176,0.0,407.5469,43.3846,20.0,60.6737
koral--,android-gif-drawable,koral--/android-gif-drawable,9651,63,13.19,64,2949,6.125,4.0,6.3134,1.6562,1.0,1.2774,59.7344,0.0,284.4116,46.0781,21.0,74.5451
react-native-camera,react-native-camera,react-native-camera/react-native-camera,9642,144,11.03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ksoichiro,Android-ObservableScrollView,ksoichiro/Android-ObservableScrollView,9620,0,11.42,335,12621,5.0149,3.0,4.5995,1.9672,2.0,1.165,7.5701,0.0,30.6392,37.6746,13.0,67.5604
SonarSource,sonarqube,SonarSource/sonarqube,10423,71,15.26,8572,419630,7.1793,4.0,8.789,1.1604,1.0,0.4896,27.6375,0.0,202.7668,48.9536,26.0,75.6391
bilibili,DanmakuFlameMaster,bilibili/DanmakuFlameMaster,9611,5,12.66,172,12879,5.1628,3.0,6.1025,1.6105,1.0,1.3702,47.5058,1.0,158.4749,74.8779,20.0,140.9701
seven332,EhViewer,seven332/EhViewer,9570,97,11.91,601,44372,7.1448,4.0,10.1919,1.822,1.0,1.5087,45.2629,1.0,450.0789,73.8303,25.0,155.8233
liaohuqiu,android-Ultra-Pull-To-Refresh,liaohuqiu/android-Ultra-Pull-To-Refresh,9527,8,11.41,161,5476,4.0186,2.0,4.3029,1.4037,1.0,0.717,19.1429,0.0,138.5242,34.0124,10.0,78.7857
MyCATApache,Mycat-Server,MyCATApache/Mycat-Server,9543,7,11.35,1291,92943,4.8954,3.0,6.2124,1.2943,1.0,0.7205,78.488,0.0,882.5902,71.993,33.0,120.5004
crossoverJie,cim,crossoverJie/cim,9488,9,7.89,205,5942,4.8341,4.0,4.8128,1.278,1.0,0.7363,8.0146,0.0,31.2172,28.9854,13.0,41.0184
umano,AndroidSlidingUpPanel,umano/AndroidSlidingUpPanel,9474,8,12.86,17,2011,4.9412,2.0,6.4395,1.3529,1.0,0.7624,132.0,0.0,362.7757,118.2941,8.0,262.3085
Justson,AgentWeb,Justson/AgentWeb,9411,21,8.91,256,11320,5.3984,3.0,7.3339,1.4883,1.0,0.996,18.793,0.0,98.9687,44.2188,12.0,92.9433
json-path,JsonPath,json-path/JsonPath,9402,12,15.21,384,17152,4.5938,3.0,4.9599,1.4766,1.0,1.0726,29.3906,0.0,121.0608,44.6667,15.0,85.8799
huanghaibin-dev,CalendarView,huanghaibin-dev/CalendarView,9373,1,9.08,176,11557,6.5682,4.0,7.1044,2.1591,1.0,1.4877,53.1818,3.0,389.0181,65.6648,28.5,116.6775
pockethub,PocketHub,pockethub/PocketHub,9373,1,14.58,212,6980,6.5755,5.0,5.3287,1.4811,1.0,0.7615,9.0425,0.0,35.1685,32.9245,21.0,40.5057
GcsSloop,AndroidNote,GcsSloop/AndroidNote,9337,0,10.26,8,402,4.875,1.0,5.5999,1.375,1.0,0.4841,8.125,3.0,11.921,50.25,28.5,52.0378
spinnaker,spinnaker,spinnaker/spinnaker,9713,30,11.77,8401,244324,6.6187,5.0,6.8784,1.5134,1.0,1.0972,14.0992,0.0,213.5185,29.0827,13.0,56.9967
android,testing-samples,android/testing-samples,9292,0,11.5,86,1849,5.5,5.5,3.5265,1.3488,1.0,0.5231,3.1512,0.0,6.7661,21.5,19.0,15.7286
apache,cassandra,apache/cassandra,9690,0,16.89,13117,781288,6.8943,5.0,8.0701,1.773,1.0,1.8654,60.6294,1.0,1455.9707,59.563,23.0,118.4698
AutoMQ,automq,AutoMQ/automq,9682,82,2.65,9322,676227,7.2243,4.0,12.0768,1.4023,1.0,1.0369,45.8853,0.0,594.8476,72.541,25.0,178.3955
apache,jmeter,apache/jmeter,9309,10,15.87,1710,126976,5.5322,4.0,6.0272,1.9988,2.0,1.5036,62.1871,3.0,381.6901,74.255,34.0,115.5808
cats-oss,android-gpuimage,cats-oss/android-gpuimage,9160,0,13.51,153,6341,2.9608,2.0,3.7362,2.1569,2.0,1.1888,11.3007,0.0,53.9987,41.4444,16.0,102.5321
spring-projects,spring-security,spring-projects/spring-security,9493,249,14.25,7177,288879,7.7075,5.0,8.4695,1.2593,1.0,0.7442,10.4963,0.0,50.4799,40.2507,16.0,74.464
HMCL-dev,HMCL,HMCL-dev/HMCL,9067,323,10.8,1588,97229,6.8646,4.0,8.3077,1.7204,1.0,1.5334,35.4383,1.0,337.4609,61.2273,26.0,96.153
didi,VirtualAPK,didi/VirtualAPK,9063,4,8.78,163,7981,4.8957,3.0,6.1491,1.6135,1.0,1.4243,17.5767,1.0,66.0762,48.9632,17.0,100.452
LSPosed,LSPatch,LSPosed/LSPatch,8966,9,5.11,146,7008,4.3425,2.0,5.8759,1.3493,1.0,0.8568,23.8767,0.0,186.2401,48.0,18.5,113.1888
KunMinX,Jetpack-MVVM-Best-Practice,KunMinX/Jetpack-MVVM-Best-Practice,8949,0,6.44,119,3691,4.8403,3.0,5.0576,1.6218,1.0,1.069,12.0,0.0,68.6774,31.0168,12.0,51.2657
navasmdc,MaterialDesignLibrary,navasmdc/MaterialDesignLibrary,8940,3,11.53,82,2927,4.5366,3.0,4.4672,1.8171,1.0,1.221,6.7561,0.0,18.7893,35.6951,13.5,50.2782
Freelander,Android_Data,Freelander/Android_Data,8917,0,11.02,2,116,2.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,58.0,58.0,17.0
alibaba,spring-ai-alibaba,alibaba/spring-ai-alibaba,9169,18,1.58,2416,116176,6.2198,4.0,6.8551,1.1908,1.0,0.5664,13.6411,1.0,63.0457,48.0861,20.0,77.5329
PojavLauncherTeam,PojavLauncher,PojavLauncherTeam/PojavLauncher,8839,126,6.08,402,27149,6.1542,3.5,8.0336,1.4104,1.0,0.6898,124.7313,1.0,1597.1325,67.5348,23.5,252.2336
frohoff,ysoserial,frohoff/ysoserial,8836,1,11.2,120,3851,5.4583,3.0,5.6316,1.3417,1.0,0.6645,8.8917,1.0,57.2186,32.0917,19.0,39.3631
java-native-access,jna,java-native-access/jna,8911,0,14.95,2384,107353,4.5164,3.0,6.0925,2.3633,2.0,4.3157,44.5864,0.0,513.3018,45.0306,11.0,161.7344
karatelabs,karate,karatelabs/karate,8834,59,9.17,578,65907,5.6384,4.0,6.1009,1.2007,1.0,0.598,149.7509,3.0,490.1454,114.026,52.0,186.5608
cabaletta,baritone,cabaletta/baritone,8791,85,7.69,473,22328,6.6998,4.0,8.274,1.3869,1.0,0.8072,22.167,1.0,128.0568,47.2051,19.0,90.0976
apache,seatunnel,apache/seatunnel,9235,53,8.68,5277,302026,6.8579,5.0,7.1923,1.3559,1.0,0.6951,32.0385,1.0,392.0715,57.2344,19.0,171.0143
laobie,StatusBarUtil,laobie/StatusBarUtil,8770,0,10.15,33,1036,4.1515,3.0,3.4739,1.5455,1.0,0.8199,22.5455,0.0,122.5922,31.3939,11.0,69.2514
nathanmarz,storm,nathanmarz/storm,8787,0,14.56,851,60552,4.4254,3.0,5.1454,1.2879,1.0,0.9252,33.0705,1.0,133.063,71.1539,18.0,366.1582
Blankj,awesome-java-leetcode,Blankj/awesome-java-leetcode,8718,0,8.98,72,1772,1.6806,2.0,0.5484,1.0,1.0,0.0,1.1667,1.0,0.6872,24.6111,24.0,10.8032
chrisbanes,Android-PullToRefresh,chrisbanes/Android-PullToRefresh,8663,0,14.36,82,3567,6.0244,4.5,5.8057,2.1341,2.0,1.3413,55.8415,1.0,368.5953,43.5,17.5,111.0764
ybq,Android-SpinKit,ybq/Android-SpinKit,8651,0,10.06,71,1812,4.8169,5.0,3.5098,3.169,2.0,2.4494,21.5211,1.0,133.6192,25.5211,11.0,41.5878
amitshekhariitbhu,Android-Debug-Database,amitshekhariitbhu/Android-Debug-Database,8649,14,9.4,61,2393,4.1475,4.0,3.7715,1.2787,1.0,0.5163,8.8033,0.0,22.6106,39.2295,11.0,63.8444
shwenzhang,AndResGuard,shwenzhang/AndResGuard,8634,4,10.5,66,6506,3.4242,2.0,4.3102,1.5,1.0,0.8572,22.3788,1.5,43.9999,98.5758,41.5,157.9162
react-native-image-picker,react-native-image-picker,react-native-image-picker/react-native-image-picker,8630,142,10.84,11,818,6.1818,4.0,6.1322,1.5455,2.0,0.4979,66.1818,1.0,201.4095,74.3636,21.0,126.2237
testcontainers,testcontainers-java,testcontainers/testcontainers-java,8623,91,11.0,924,32587,5.3236,4.0,4.783,1.4848,1.0,0.8354,21.7608,1.0,163.3431,35.2673,20.0,49.0638
apache,shenyu,apache/shenyu,8794,14,7.75,3678,148882,5.9929,4.0,6.0239,1.2295,1.0,0.5793,18.1612,1.0,67.2645,40.4791,23.0,51.4987
dropwizard,dropwizard,dropwizard/dropwizard,8590,192,15.22,1385,39973,5.956,4.0,5.8982,1.5155,1.0,1.0039,18.8231,0.0,214.5571,28.8614,13.0,48.4302
google,tsunami-security-scanner,google/tsunami-security-scanner,8561,1,5.85,298,9088,6.2282,5.0,6.1005,1.5268,1.0,0.9382,15.1208,1.0,53.4501,30.4966,13.0,44.4059
aeron-io,aeron,aeron-io/aeron,8575,139,12.17,1348,127381,8.0163,4.0,10.2247,1.3027,1.0,0.9214,119.1083,0.0,1333.3231,94.4963,33.5,197.6256
airbnb,epoxy,airbnb/epoxy,8564,78,9.67,612,43301,6.8644,4.0,6.1213,1.8235,2.0,1.0988,138.3203,1.0,319.4925,70.7533,11.0,103.0751
chrisjenx,Calligraphy,chrisjenx/Calligraphy,8540,4,12.3,25,968,5.72,5.0,4.96,1.44,1.0,0.5713,11.36,3.0,26.3998,38.72,16.0,50.0915
flowable,flowable-engine,flowable/flowable-engine,9177,29,9.49,9178,537046,6.5619,4.0,9.4607,1.6161,1.0,0.9535,151.2202,1.0,2964.349,58.5145,21.0,144.4828
